2022-07-01 10:12:09,848 DEBUG    client.py Сформировано presence сообщение для пользователя hello
2022-07-01 10:12:09,848 DEBUG    decos.py Была вызвана функция create_presence c параметрами ('hello',), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-07-01 10:12:09,849 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51496), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1656652329.8482761, 'user': {'account_name': 'hello'}}), {}.Вызов из модуля common.utils.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-07-01 10:12:09,850 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51496), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-07-01 10:12:09,850 DEBUG    client.py Разбор приветственного сообщения от сервера: {'response': 400, 'error': 'Bad Request'}
2022-07-01 10:12:09,850 ERROR    client.py При установке соединения сервер вернул ошибку: 400 : Bad Request
2022-07-01 10:14:00,371 DEBUG    decos.py Была вызвана функция arg_parser c параметрами (), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-07-01 10:14:04,524 INFO     client.py Запущен клиент с параметрами: адрес сервера: 127.0.0.1, порт: 7777, имя пользователя: Alex
2022-07-01 10:14:04,524 DEBUG    client.py Сформировано presence сообщение для пользователя Alex
2022-07-01 10:14:04,524 DEBUG    decos.py Была вызвана функция create_presence c параметрами ('Alex',), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-07-01 10:14:04,525 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51498), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1656652444.5244434, 'user': {'account_name': 'Alex'}}), {}.Вызов из модуля common.utils.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-07-01 10:14:05,026 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51498), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-07-01 10:14:05,027 DEBUG    client.py Разбор приветственного сообщения от сервера: {'response': 200}
2022-07-01 10:14:05,027 DEBUG    decos.py Была вызвана функция process_response_ans c параметрами ({'response': 200},), {}.Вызов из модуля __main__.Вызов из функции main().Вызов из функции main@@@Вызов из функции main@@@вызов из модуля client.py
2022-07-01 10:14:05,027 INFO     client.py Установлено соединение с сервером. Ответ сервера: 200 : OK
2022-07-01 10:14:05,028 DEBUG    client.py Запущены процессы
2022-07-01 10:14:27,538 DEBUG    client.py Сформирован словарь сообщения: {'action': 'message', 'from': 'Alex', 'to': 'Alex', 'time': 1656652467.5381246, 'mess_text': 'Hello, Alex!'}
2022-07-01 10:14:27,545 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51498), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': 'Alex', 'to': 'Alex', 'time': 1656652467.5381246, 'mess_text': 'Hello, Alex!'}), {}.Вызов из модуля common.utils.Вызов из функции self._bootstrap_inner().Вызов из функции create_message@@@Вызов из функции create_message@@@вызов из модуля client.py
2022-07-01 10:14:27,545 INFO     client.py Отправлено сообщение для пользователя Alex
2022-07-01 10:14:27,546 DEBUG    decos.py Была вызвана функция create_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51498), raddr=('127.0.0.1', 7777)>, 'Alex'), {}.Вызов из модуля __main__.Вызов из функции self._bootstrap_inner().Вызов из функции user_interactive@@@Вызов из функции user_interactive@@@вызов из модуля client.py
2022-07-01 10:14:27,556 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51498), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.Вызов из функции self._bootstrap_inner().Вызов из функции message_from_server@@@Вызов из функции message_from_server@@@вызов из модуля client.py
2022-07-01 10:14:27,556 INFO     client.py Получено сообщение от пользователя Alex:
Hello, Alex!
2022-07-01 10:14:43,766 DEBUG    decos.py Была вызвана функция create_exit_message c параметрами ('Alex',), {}.Вызов из модуля __main__.Вызов из функции self._bootstrap_inner().Вызов из функции user_interactive@@@Вызов из функции user_interactive@@@вызов из модуля client.py
2022-07-01 10:14:43,767 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51498), raddr=('127.0.0.1', 7777)>, {'action': 'exit', 'time': 1656652483.7660792, 'account_name': 'Alex'}), {}.Вызов из модуля common.utils.Вызов из функции self._bootstrap_inner().Вызов из функции user_interactive@@@Вызов из функции user_interactive@@@вызов из модуля client.py
2022-07-01 10:14:43,767 INFO     client.py Завершение работы по команде пользователя.
2022-07-01 10:14:44,076 CRITICAL client.py Потеряно соединение с сервером.
